country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Netherlands,2030,2180,2540,3240,3690,3820,4080,4700,5380,5280,5190,5560,5280,5530,5600,4680,4640,4930,5330,5340,5870,6550,5800,
Norway,2950,3100,3890,4630,5100,5580,5890,6900,7770,7300,7860,8900,8970,9240,9120,7570,7490,7820,8270,8010,7820,9160,8690,
Nepal,8.34,10.3,10.5,11.1,12.9,14.1,13.7,17.1,18.9,20.9,29.6,34.1,33.6,35.1,42,46.5,47.1,49.6,51.2,53.6,59.1,66.5,88.3,
Nauru,464,349,299,274,216,329,363,587,810,575,626,672,874,832,760,980,982,1130,1220,1210,1270,1810,2260,
New Zealand,1050,1050,1250,1610,1980,2300,2300,2710,2850,2710,3230,3660,3850,4010,4180,3580,3700,3850,3910,4060,4210,4970,4800,
Oman,262,260,274,290,306,327,342,397,467,510,584,563,561,588,727,767,714,705,640,730,859,856,707,
Pakistan,15.4,13.4,15,14.3,15.5,19.6,24.4,26.1,24.3,23.1,23.6,25,25.6,28.2,32.1,34,36.5,42.1,40.1,36,36.9,42.8,38.8,
Panama,301,297,309,303,344,323,371,472,507,551,607,665,725,806,919,982,1060,1130,1230,1340,1360,1420,1470,
Peru,83.6,89.4,97.7,97.4,105,123,136,159,191,209,241,264,309,321,332,311,311,333,363,368,400,456,446,
Philippines,32.1,27.6,26.8,31.6,33.5,45.7,53.9,64.3,75.7,77.6,89.4,96,109,119,106,113,118,120,125,142,167,208,183,194
Palau,676,641,609,638,765,810,852,897,881,947,1090,1070,1240,1400,1480,1550,1700,1780,1790,1920,1930,1920,1980,
Papua New Guinea,18.8,18.2,20.6,22,25.7,27.5,30,33.2,34.7,36.5,39.3,52.5,70.3,76.8,89.1,45.2,54,55.2,59,59.9,55.9,61,81.1,
Poland,238,283,316,339,392,466,524,661,893,760,809,866,815,878,911,804,816,910,979,1010,1030,1180,1190,1540
Portugal,995,1020,1140,1440,1720,1810,1860,2110,2390,2350,2260,2260,1980,2030,2060,1790,1880,2000,2220,2220,2350,2760,2580,2740
Paraguay,104,91.8,65.1,70.9,88.1,95.2,122,161,221,218,258,338,369,392,441,393,386,407,422,417,412,480,480,
Palestine,130,127,118,112,151,158,154,149,201,222,219,308,298,327,314,287,299,310,324,317,315,364,351,
Qatar,553,599,669,1120,1260,1390,1380,1300,1290,1330,1310,1480,1710,2030,2250,2420,2070,1910,1970,2010,1970,1850,1780,
Romania,69.9,78.8,96.6,144,191,255,291,415,521,449,472,427,402,495,503,442,476,555,687,739,810,963,902,
Russia,95.2,118,140,163,208,270,351,460,607,514,564,681,755,806,736,497,463,577,606,650,815,882,1080,
Rwanda,9,7.87,7.32,17.3,20.2,25,27.2,33.5,39.9,44,48,51.6,57.3,47.8,50.6,48.8,50.8,48.3,51.4,50.8,58.3,60.5,76.8,
Saudi Arabia,493,482,450,457,471,546,635,662,663,760,766,954,1090,1190,1360,1310,1350,1400,1490,1500,1570,1650,1590,
Sudan,14,15.2,16.7,22.6,29.3,37.1,55.3,81.8,82.8,80,73.6,80.4,75.4,97.5,88.8,93.7,89.4,67.8,33.7,33.7,22.2,20.5,31.6,
Senegal,21.4,23.5,26.5,35.1,41.9,36,38.3,40.6,49.1,50.3,51.4,57.9,56.6,60.5,61.4,53.3,53.9,56.5,64.4,64.3,75.2,71.1,63.7,
Singapore,796,690,749,851,868,908,990,1120,1290,1330,1510,1700,1850,2100,2230,2330,2490,2650,2690,2890,3490,4040,4320,
Solomon Islands,46,60.2,76.5,53.5,64.7,89,87.7,89.1,75.7,93.9,74.1,95.4,101,99,106,91,94.3,89.3,88,98.7,101,98.8,96.7,
Sierra Leone,17.8,19.4,23.7,22.6,23.5,27.1,30.2,32,37.5,39.2,37.8,49.6,51.9,84.9,144,119,84.6,47.4,44.8,48.1,47.9,44.9,39.3,
El Salvador,156,162,167,172,186,225,232,240,253,257,271,296,301,324,315,332,340,339,348,381,358,470,501,
San Marino,2180,2200,2250,2510,2960,3060,3240,3800,4380,4240,3810,4550,4310,4110,4120,3530,3620,3670,3970,3800,3760,4030,3870,
Somalia,,,,,,,,,,,,,,12.9,13.1,14.1,11.7,13.5,12.7,12.9,12.4,14.6,15.3,
Serbia,56.5,112,173,230,274,308,372,547,672,575,545,619,560,628,609,491,486,516,617,641,670,919,903,
South Sudan,,,,,,,,,,,,,,,,,,28.1,31.1,35.1,47.2,34.5,49.4,
Sao Tome and Principe,49.6,47.1,50.6,71.2,71.1,80.1,57.2,59.7,64.6,64.9,60.9,69.5,86.3,125,119,85.4,110,117,109,107,160,187,180,
Suriname,167,91.7,158,167,213,242,314,309,334,380,400,375,406,435,441,512,338,322,446,599,453,294,344,
Slovak Republic,204,212,254,344,512,601,729,1030,1250,1320,1300,1350,1320,1370,1290,1110,1180,1190,1300,1340,1390,1680,1640,
Slovenia,797,826,945,1200,1370,1450,1540,1800,2180,2130,2020,2150,1970,2060,2060,1780,1840,1930,2170,2220,2420,2780,2740,3030
Sweden,2170,2160,2460,3110,3490,3550,3770,4310,4630,4140,4420,6350,6250,6700,6610,5600,5680,5840,6010,5650,6000,6840,5940,6150
Eswatini,76.9,75.4,74.7,131,176,217,238,252,266,280,343,365,340,303,282,251,226,266,292,320,236,297,284,
Seychelles,340,390,382,447,512,537,581,509,479,401,547,560,666,647,631,576,673,667,709,692,693,629,695,
Syria,53.5,57.5,62.5,59.7,60,62,63.7,71.8,82.5,87.3,88.1,74.4,62.7,44.4,46.4,36.1,25.9,33.6,43.6,50.3,30.6,25.8,34.4,
Chad,10.1,11.6,18,18,27.7,31.3,33.9,34,36.9,34.8,35.3,37.4,36.2,38.6,42.2,33.8,32,30,31.2,30.2,37.7,37.6,40.2,
Togo,10.6,10.6,12,14.7,16.1,17,17.8,22.3,26.9,28.3,30.5,34.4,35.4,39.6,42,46.7,50.6,51.5,52.4,48.9,52.8,52.7,54,
Thailand,62.2,57.2,69.7,76.1,82.9,90.6,103,125,149,150,169,192,202,208,214,219,230,247,275,288,304,364,370,
Tajikistan,5.91,7.57,8.22,11,14.7,17.4,20,28.6,41.4,38.9,42.3,48.8,57,67.6,73.1,62.8,54.9,56.9,58.5,60.5,74.2,75.1,78.6,
Turkmenistan,75.5,121,128,200,303,325,350,262,236,178,203,252,289,340,394,363,377,411,411,433,420,472,579,
Timor-Leste,,,,15.2,20.2,25.7,27.9,30.5,43.7,50.2,52.6,64.4,71.5,103,93.1,101,92.7,86.2,78.1,78,118,132,175,
Tonga,53.4,55.3,62.7,68.1,103,108,149,135,191,119,167,193,317,169,207,177,203,241,272,261,256,342,378,
Trinidad and Tobago,266,273,324,359,431,530,569,667,752,777,825,873,895,971,1010,1060,1060,1080,1080,1100,1050,1170,1290,
Tunisia,111,114,125,149,167,170,179,202,231,231,241,271,270,285,288,249,240,224,215,213,250,270,266,
Turkey,193,149,181,233,293,357,409,504,562,492,532,526,520,548,520,445,456,432,380,389,386,431,386,
Tuvalu,352,262,207,275,217,231,285,282,298,330,465,502,473,503,527,450,698,1000,817,1130,923,1150,1080,
Tanzania,12.3,15.2,17,20.4,23.4,27.7,35.6,36.2,36.3,34,37.2,37.8,42,43.5,39.9,33.3,36.7,39,41.3,40,31.7,37.6,35.6,
Uganda,16.4,16,15.7,14.2,18.6,25.9,31.6,36.1,40,44.4,51.9,55.2,55,52.9,51,40.1,39.1,31.4,33,33.4,44.7,51,44.1,
Ukraine,34.6,44.1,52.1,67.9,83.2,115,146,183,213,166,199,240,271,276,209,155,155,184,218,243,265,370,,
Uruguay,699,679,436,384,376,445,501,578,812,826,1040,1240,1350,1520,1500,1420,1470,1670,1710,1690,1430,1590,1850,
USA,4550,4900,5330,5730,6070,6430,6800,7150,7360,7610,7840,8020,8260,8410,8800,9200,9540,9820,10.2k,10.5k,11.7k,12k,12.4k,
Uzbekistan,35.7,30.5,24.5,25.6,28,32.5,38,46.9,61.3,72,92.9,110,128,141,118,133,130,93.4,82.5,98.6,120,156,169,
St. Vincent and the Grenadines,150,163,175,178,188,198,210,244,256,265,282,276,299,300,299,303,314,338,359,372,406,455,435,
Venezuela,,,,,,,,,,,,,,,,,,,165,113,153,163,209,
Vietnam,21.1,25.6,21.9,24.9,32,39,46.9,54.4,64.4,69.8,85.4,97.1,109,104,119,121,133,148,162,171,153,168,189,
